"","city","citycode","Occupational Diversity","Occupational Diversity Excluding First Quartile Exposure Jobs","Occupational Diversity Excluding the Bottom Two Exposure Levels","wage"
"235","红河",532500,1.864207,1.547867,0.9937903,97929
"236","绍兴",330600,1.835174,1.550195,0.9921922,107981
"237","绥化",231200,1.918079,1.563446,0.975571,65287
"238","绵阳",510700,1.823588,1.567781,0.9940675,NA
"239","聊城",371500,1.955428,1.543806,0.9972293,NA
"240","肇庆",441200,1.53107,1.578826,0.9968863,97317
"241","自贡",510300,1.835203,1.574989,0.9993589,NA
"242","舟山",330900,1.696183,1.567587,0.9976282,NA
"243","芜湖",340200,1.761718,1.570262,0.9790558,96390
"244","苏州",320500,1.866481,1.532135,0.9728844,NA
"245","茂名",440900,1.94774,1.543184,0.996848,NA
"246","荆州",421000,1.830665,1.568526,0.9976776,NA
"247","荆门",420800,1.510773,1.576461,0.9964561,NA
"248","莆田",350300,1.950972,1.556861,0.9993708,84686
"249","菏泽",371700,1.936081,1.560176,0.9992446,NA
"250","萍乡",360300,1.814632,1.55622,0.9726209,92611
"251","营口",210800,1.931113,1.581321,0.997246,82953
"252","葫芦岛",211400,1.907065,1.571234,0.9932607,78810
"253","蚌埠",340300,1.824623,1.535907,0.9930111,89218
"254","衡水",131100,1.939449,1.559887,0.9975868,79340
"255","衡阳",430400,1.893386,1.554295,0.9945669,59040
